objectid, birdName, originLatitude, originLongitude, desLatitude, desLongitude
1,Albatross,25.27,-133.77,17.07,-96.73
2,Alexandrine Parakeet,20.59,-78.96,53.13,-57.66
3,American Avocet,44.21,-54.53,-35.68,-71.53
4,American Bittern,43.06,-105.26,32.17,-82.9
5,American Coot,0,0,0,0
6,American Goldfinch,46.65,-99,23.64,-102.53
7,American Kestrel,0,0,0,0
8,American Redstart,0,0,0,0
9,Anhinga,26.44,-82.11,-34.41,63.61
10,Annas Hummingbird,0,0,0,0
11,Bald Eagle,0,0,0,0
12,Baltimore Oriole,0,0,0,0
13,Bananaquit,0,0,0,0
14,Barn Owl,0,0,0,0
15,Barn Swallow,0,0,0,0
16,Bar-Tailed Godwit,0,0,0,0
17,Bay-Breasted Warbler,0,0,0,0
18,Belted Kingfisher,0,0,0,0
19,Bird of Paradise,0,0,0,0
20,Black Francolin,0,0,0,0
21,Black Skimmer,0,0,0,0
22,Black Swan,0,0,0,0
23,Black Throated Warbler,0,0,0,0
24,Black Burniam Warbler,0,0,0,0
25,Black Capped Chickadee,0,0,0,0
26,Black Necked Grebe,0,0,0,0
27,Blue Heron,0,0,0,0
28,Bobolink,0,0,0,0
29,Brown Thrasher,0,0,0,0
30,Cactus Wren,0,0,0,0
31,California Condor,30.84,-115.28,0,0
32,California Gull,0,0,0,0
33,California Quail,0,0,0,0
34,Cape May Warbler,45.05,-82.48,21.47,-78.66
35,Cassowary,0,0,0,0
36,Chara De Collar,0,0,0,0
37,Chipping Sparrow,0,0,0,0
38,Cinnamon Teal,0,0,0,0
39,Cock of the Rock,0,0,0,0
40,Cockatoo,-25.27,133.77,0,0
41,Common Grackle,0,0,0,0
42,Common House Martin,0,0,0,0
43,Common Loon,0,0,0,0
44,Common Poorwill,0,0,0,0
45,Common Starling,0,0,0,0
46,Couchs Kingbird,0,0,0,0
47,Crested Auklet,52.12,-174.12,57.49,-153.49
48,Crested Caracara,0,0,0,0
49,Crow,0,0,0,0
50,Crowned Pigeon,0,0,0,0
